cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
63;2;2020;2020-02-01;24;3;Japeri;3302270;Baixada Fluminense;2;0;0;2;1;3;3;29;3;2;1;13;0;1;14;4;2;2;0;0;0;0;0;8;30;0;3;0;2;23;28;0;0;0;3;9;0;8;1;4;21;2;3;1;16;1;0;0;0;0;196;3
64;2;2020;2020-02-01;21;3;São João de Meriti;3305109;Baixada Fluminense;11;0;1;12;16;28;22;119;11;2;37;230;135;96;461;207;24;13;4;1;1;0;1;81;793;26;11;2;15;73;128;0;1;0;92;17;1;15;1;161;49;11;19;2;105;9;0;0;0;0;2968;3
65;2;2020;2020-02-01;34;3;Magé;3302502;Baixada Fluminense;2;0;0;2;0;2;1;36;2;2;11;16;7;0;23;8;0;1;0;0;0;0;1;2;35;5;6;0;12;25;48;0;0;0;8;17;3;10;4;6;22;6;11;1;27;1;0;0;0;0;240;3
66;2;2020;2020-02-01;34;3;Magé;3302502;Baixada Fluminense;3;0;0;3;0;3;3;71;9;0;18;39;7;2;48;13;2;3;0;0;0;0;0;11;77;12;7;3;7;39;71;0;1;0;21;2;1;1;0;9;13;1;4;1;54;2;1;0;0;0;397;3
67;2;2020;2020-02-01;34;3;Guapimirim;3301850;Baixada Fluminense;4;0;0;4;0;4;1;26;0;1;19;6;2;0;8;4;0;1;1;0;0;0;0;2;16;6;1;1;2;19;30;0;0;0;3;8;2;6;0;3;18;1;2;0;17;2;0;0;0;0;155;3
70;2;2020;2020-02-01;35;4;Tanguá;3305752;Interior;0;0;0;0;0;0;0;7;0;0;5;6;3;0;9;3;0;1;2;0;0;0;0;1;16;2;1;0;2;5;11;0;0;0;2;1;0;1;0;1;3;0;4;1;7;1;0;0;0;0;59;3
71;2;2020;2020-02-01;35;4;Itaboraí;3301900;Interior;2;0;0;2;1;3;7;48;12;0;24;48;21;17;86;27;4;9;1;0;0;0;1;26;154;17;9;5;8;57;96;0;1;0;31;15;2;12;1;14;35;5;8;3;53;6;1;0;0;0;559;3
72;2;2020;2020-02-01;7;4;São Gonçalo;3304904;Grande Niterói;6;0;0;6;9;15;7;76;3;0;28;131;28;56;215;42;21;6;0;0;0;0;2;36;322;20;23;6;11;109;169;0;3;0;38;6;3;3;0;32;20;2;8;0;76;3;1;0;0;0;850;3
73;2;2020;2020-02-01;7;4;São Gonçalo;3304904;Grande Niterói;1;0;1;2;7;9;4;49;3;2;30;99;27;5;131;32;14;1;1;1;0;1;3;19;203;24;5;2;4;62;97;0;2;0;20;7;1;6;0;13;24;2;13;0;32;0;0;0;0;0;519;3
74;2;2020;2020-02-01;7;4;São Gonçalo;3304904;Grande Niterói;6;0;0;6;7;13;11;38;5;5;20;128;19;15;162;80;22;9;0;0;0;0;1;30;304;23;13;3;10;54;103;0;2;0;39;12;0;12;0;25;36;3;10;0;30;8;0;0;0;0;702;3
